Ingresso_x,Ingresso_y,Uscita_x,Uscita_y,PuntoIncontro_x,PuntoIncontro_y,Velocità_kmh
0.8127307670580493,40.0,40.0,2.5903777916465387,30.37316519681445,11.780511733071046,653.1452889204861,0_0
24.03063992891007,0.0,40.0,29.66125095931543,30.37316519681445,11.780511733071046,739.4574773257004,0_1
40.0,14.673297945745919,0.06460188343267248,0.0,33.99106107042767,12.465458399635864,522.5253036411461,0_2
30.234106916795287,40.0,35.69191218286545,0.0,33.99106107042767,12.465458399635864,630.8085419132897,0_3
35.346092106273744,0.0,5.636435728599242,40.0,10.110557749090695,33.97620495691285,551.6139009569741,0_4
10.359940984949151,40.0,8.703953461637607,0.0,10.110557749090695,33.97620495691285,625.7080005084839,0_5
18.660760101924094,40.0,27.014365267943553,0.0,19.05439767847171,38.11512481749154,532.8245250676248,0_6
19.04740406896016,40.0,19.195819403332465,0.0,19.05439767847171,38.11512481749154,560.7442234475528,0_7
0.0,13.59755346500221,40.0,10.053656835789452,39.703868754587106,10.079893298850035,607.756181790875,0_8
0.0,12.797050503826533,40.0,10.059627385921855,39.703868754587106,10.079893298850035,549.2165805144148,0_9
23.51641368984499,0.0,0.0,18.62931606855775,11.806984832910828,9.276016914616338,785.7070792072373,0_10
11.55595020285518,0.0,12.638460648303333,40.0,11.806984832910828,9.276016914616338,553.6043731024718,0_11
23.155656627371553,40.0,10.343284966653691,0.0,22.039576923272758,36.515618704628615,686.5890079021221,0_12
5.910493818647467,40.0,40.0,32.63561127831938,22.039576923272758,36.515618704628615,785.4167843906147,0_13
0.0,12.23296445010363,21.84852919377422,40.0,16.9159532916149,33.73124802987435,748.5999005340336,0_14
18.63101702102619,0.0,16.597218890708177,40.0,16.9159532916149,33.73124802987435,611.7465432483201,0_15
40.0,32.32317568773207,13.690072174288606,0.0,32.406163250833764,22.993734686856975,543.2520837203186,0_16
34.06908481253155,40.0,30.157769703475545,0.0,32.406163250833764,22.993734686856975,772.6717740501324,0_17
0.0,38.741426418235655,40.0,30.008092172458248,33.97140018753649,31.32433660236512,510.2367560220768,0_18
40.0,13.358819254681748,31.060150724479836,40.0,33.97140018753649,31.32433660236512,642.3195958595695,0_19
